year,Topic,rate,rank,Rubric
2004,topic_11,62.473748668559956,14.0,bivs-SSR
2005,topic_11,116.03053504668698,17.0,bivs-SSR
2006,topic_11,136.47691485662008,13.0,bivs-SSR
2007,topic_11,165.97561719480998,14.0,bivs-SSR
2008,topic_11,149.21744579753008,15.0,bivs-SSR
2009,topic_11,224.0783600975303,7.0,bivs-SSR
2010,topic_11,202.97878964590973,8.0,bivs-SSR
2011,topic_11,182.60101145234984,7.0,bivs-SSR
2012,topic_11,251.3535601707402,4.0,bivs-SSR
2013,topic_11,263.86119409703974,3.0,bivs-SSR
2014,topic_11,303.3246916112603,9.0,bivs-SSR
2015,topic_11,215.35850298409,8.0,bivs-SSR
2016,topic_11,443.80816723063947,4.0,bivs-SSR
2017,topic_11,416.3410932462803,3.0,bivs-SSR
2018,topic_11,166.5146509204349,1.0,bivs-SSR
1999,topic_12,5.233191855,18.0,bivs-SSR
2000,topic_12,26.90201785039999,16.0,bivs-SSR
2001,topic_12,30.058708584899986,16.0,bivs-SSR
2002,topic_12,25.665205076699987,18.0,bivs-SSR
2003,topic_12,17.0417245347,19.0,bivs-SSR
2004,topic_12,43.47636970233003,18.0,bivs-SSR
2005,topic_12,98.45820595809,19.0,bivs-SSR
2006,topic_12,104.95346175167607,17.0,bivs-SSR
2007,topic_12,125.01700382809996,16.0,bivs-SSR
2008,topic_12,110.7529458471,18.0,bivs-SSR
2009,topic_12,142.4868942874929,16.0,bivs-SSR
2010,topic_12,159.32403634755,14.0,bivs-SSR
2011,topic_12,134.37024795452,13.0,bivs-SSR
2012,topic_12,162.45732012052986,11.0,bivs-SSR
2013,topic_12,172.42554270906982,9.0,bivs-SSR
2014,topic_12,111.13550773452987,17.0,bivs-SSR
2015,topic_12,105.52695054345004,15.0,bivs-SSR
2016,topic_12,132.41035833567997,14.0,bivs-SSR
2017,topic_12,130.1871847567,14.0,bivs-SSR
2018,topic_12,46.04094753259993,15.0,bivs-SSR
1999,topic_13,8.6542970943,12.0,bivs-SSR
2000,topic_13,36.42604150309998,9.0,bivs-SSR
2001,topic_13,50.61072422850005,10.0,bivs-SSR
